time,open,high,low,close,tick_volume,spread,real_volume
2008-05-16 15:11:00,73120,73135,73110,73135,7,1,21
2008-05-16 15:12:00,73120,73140,73105,73135,9,1,27
2008-05-16 15:13:00,73130,73140,73120,73120,4,1,12
2008-05-16 15:14:00,73135,73135,73120,73130,4,1,12
2008-05-16 15:15:00,73120,73140,73100,73135,10,1,30
2008-05-16 15:16:00,73130,73140,73100,73100,12,1,36
2008-05-16 15:17:00,73125,73125,73080,73080,5,1,15
2008-05-16 15:18:00,73055,73100,73055,73100,9,1,27
2008-05-16 15:19:00,73090,73100,73090,73100,2,1,6
2008-05-16 15:20:00,73100,73130,73100,73130,8,1,24
2008-05-16 15:21:00,73130,73160,73100,73150,20,1,60
2008-05-16 15:22:00,73150,73150,73130,73130,5,1,15
2008-05-16 15:23:00,73135,73140,73120,73130,6,1,18
2008-05-16 15:24:00,73140,73150,73140,73150,3,1,9
2008-05-16 15:25:00,73140,73140,73050,73080,13,1,39
2008-05-16 15:26:00,73080,73080,73065,73065,2,1,6
2008-05-16 15:27:00,73065,73065,73035,73060,10,1,30
2008-05-16 15:28:00,73030,73030,73020,73020,2,1,6
2008-05-16 15:29:00,73040,73100,73040,73090,12,1,36
2008-05-16 15:30:00,73090,73090,73080,73080,1,1,3
2008-05-16 15:31:00,73085,73130,73085,73130,10,1,30
2008-05-16 15:32:00,73130,73130,73110,73110,4,1,12
2008-05-16 15:33:00,73120,73120,73070,73075,5,1,15
2008-05-16 15:34:00,73090,73130,73090,73130,5,1,15
2008-05-16 15:35:00,73065,73080,73040,73080,8,1,24
2008-05-16 15:36:00,73080,73110,73080,73100,5,1,15
2008-05-16 15:37:00,73095,73140,73095,73140,6,1,18
2008-05-16 15:38:00,73145,73150,73110,73150,15,1,45
2008-05-16 15:39:00,73160,73180,73110,73110,12,1,36
2008-05-16 15:40:00,73130,73150,73130,73150,4,1,12
2008-05-16 15:41:00,73150,73160,73125,73125,6,1,18
